Date,Product,Quantity,Price,Region,Salesperson,Profit
2024-02-21,Phone,43,4593,West,Dave,18561.2751299394
2024-04-02,Laptop,6,1400,West,Bob,834.117327166094
2024-01-15,Monitor,7,4087,West,Dave,4316.4620764862
2024-03-12,Monitor,41,1627,North,Bob,10863.6471602799
2024-03-01,Monitor,21,1318,East,Bob,4670.29871583661
2024-01-21,Headphones,6,4596,West,Charlie,4644.97648585539
2024-03-23,Laptop,6,4835,South,Bob,1847.38335741638
2024-03-27,Headphones,32,3204,North,Alice,12730.1887500819
2024-03-15,Headphones,27,2835,West,Eve,4488.12529282111
2024-03-15,Laptop,41,4655,West,Eve,25274.8002253845
2024-03-28,Laptop,36,1054,South,Dave,4410.21500161671
2024-04-09,Laptop,37,4665,East,Bob,31613.5770697495
2024-01-24,Laptop,5,3546,East,Alice,1819.75847588225
2024-01-03,Monitor,23,1145,East,Dave,1779.19398164315
2024-01-22,Tablet,6,1793,West,Charlie,768.645677328661
2024-02-22,Tablet,48,3536,West,Dave,27873.8514750215
2024-01-02,Laptop,30,662,West,Dave,2834.67161061914
2024-03-28,Tablet,36,2585,North,Bob,6064.57143599803
2024-01-30,Tablet,10,3454,South,Charlie,2162.7573624818
2024-02-07,Laptop,36,325,West,Dave,1815.20082571076
2024-01-02,Tablet,8,4993,South,Alice,2433.1668289317
2024-03-04,Headphones,15,1059,South,Alice,2752.5370562741
2024-02-29,Phone,21,4648,East,Eve,15220.6336962437
2024-01-21,Phone,42,3167,North,Charlie,8273.77900624525
2024-02-02,Laptop,28,915,West,Charlie,1607.03133522939
2024-03-16,Monitor,9,4854,East,Eve,8649.65049396036
2024-02-27,Laptop,38,4742,East,Dave,19126.1150468105
2024-01-22,Monitor,10,3220,West,Charlie,3400.20157033308
2024-03-29,Phone,26,116,South,Alice,518.510524227294
2024-02-18,Laptop,15,1343,East,Alice,3869.59838870968
2024-03-31,Headphones,20,2305,South,Bob,9123.19735633515
2024-02-28,Tablet,37,2624,North,Charlie,15825.997187563
2024-02-11,Monitor,13,1169,South,Dave,1617.552538197
2024-04-01,Tablet,10,3544,North,Eve,2215.88980997012
2024-02-29,Tablet,20,2665,South,Eve,8878.28959283986
2024-03-20,Laptop,33,1160,East,Dave,5120.35720198299
2024-01-15,Tablet,7,2427,East,Bob,1930.51615726453
2024-03-02,Headphones,24,3520,North,Eve,15709.3227679205
2024-03-02,Tablet,40,401,West,Charlie,1069.5411424286
2024-02-16,Laptop,23,4376,North,Bob,12469.6597245
2024-03-02,Headphones,30,706,North,Charlie,1095.07052942609
2024-02-20,Phone,7,3270,South,Alice,2753.64631428683
2024-02-24,Tablet,23,799,South,Bob,1074.05279458077
2024-03-04,Laptop,24,1239,North,Eve,2016.77543372211
2024-01-03,Phone,36,290,East,Bob,706.046102452946
